Termék kód;Nettó eladási egységár
560;10229,0
561;13277,0
567;708,0
758;23189,0
759;15736,0
779;15382,0
781;25194,0
782;1377,0
787;944,0
788;331,0
789;413,0
790;378,0
853;413,0
1068;9300,0
1070;10406,0
1071;23408,0
1788;106874,0
1820;1288,0
1821;5390,0
2029;6649,0
2115;147680,0
2365;109569,0
2375;10944,0
2554;22017,0
2590;15354,0
2793;1713,0
2794;1505,0
2796;1174,0
2797;770,0
2806;2823,0
2809;428,0
2812;297,0
2813;376,0
2839;790,0
2856;23050,0
2859;31370,0
2860;13328,0
2924;91913,0
2968;440,0
3000;228,0
3093;227594,0
3136;11641,0
3267;9988,0
3268;10798,0
3270;7559,0
3273;9448,0
3470;22628,0
3659;456,0
3698;10229,0
3760;19717,0
3843;39362,0
3847;52522,0
3848;93164,0
3849;23728,0
3853;78551,0
3860;30095,0
3890;47599,0
3900;19977,0
4002;38976,0
4003;38976,0
4037;48985,0
4038;54540,0
4039;65118,0
4056;35057,0
4059;18946,0
4104;47599,0
4110;13319,0
4111;9126,0
4112;23759,0
4113;31817,0
4127;155733,0
4131;248004,0
4193;1658,0
4224;442,0
4246;14021,0
4409;6654,0
4412;10522,0
4413;16835,0
4415;4753,0
4416;5228,0
4417;7225,0
4418;7510,0
4428;32238,0
4532;4634,0
4535;3707,0
4536;5989,0
4568;16240,0
4682;76222,0
4683;70981,0
4692;119395,0
4694;7504,0
4846;40157,0
4848;48976,0
4850;75511,0
4934;4197,0
4935;12096,0
4940;1269,0
4984;410,0
4989;231,0
4990;337,0
5001;904,0
5007;934,0
5010;347,0
5011;395,0
5012;720,0
5013;720,0
5230;54251,0
5231;54251,0
5232;15920,0
5237;6965,0
5238;5804,0
5242;66429,0
5245;5370,0
5368;65590,0
5565;78261,0
5567;545,0
5568;619,0
5569;643,0
5574;8853,0
5575;11858,0
5587;3557,0
5677;20480,0
5680;28275,0
5692;15669,0
5693;158101,0
5711;11217,0
5710;8457,0
5712;6056,0
5715;4645,0
5721;3070,0
5722;4664,0
5723;10944,0
5724;2915,0
5725;2915,0
5726;1344,0
5727;2914,0
5728;7078,0
5734;4076,0
5735;9580,0
5745;4616,0
5747;4785,0
5753;15042,0
5755;1772,0
5817;1435,0
5819;1435,0
5820;730,0
5821;1837,0
5822;1024,0
5823;1837,0
5824;965,0
5825;325,0
5826;325,0
5827;541,0
5828;535,0
5829;535,0
5830;541,0
5831;535,0
5833;762,0
5834;762,0
5837;476,0
5840;585,0
5841;566,0
5842;575,0
5846;594,0
5847;518,0
5848;560,0
5852;496,0
5853;810,0
5856;449,0
5893;48148,0
5894;42017,0
5892;52313,0
5959;261,0
5960;88655,0
5962;7664,0
5963;33529,0
5964;25170,0
5965;81,0
5966;81,0
5967;81,0
5968;81,0
5969;81,0
5970;81,0
5971;81,0
5972;81,0
5973;132,0
5974;132,0
5975;132,0
5976;132,0
5977;132,0
5979;8336,0
5980;8336,0
6006;20544,0
6009;58358,0
6012;87655,0
6014;229,0
6047;50060,0
6048;49184,0
6074;354,0
6075;378,0
6086;241,0
6088;839,0
6089;1119,0
6090;1382,0
6091;2032,0
6094;2386,0
6102;3925,0
6110;1670,0
6111;798,0
6112;1240,0
6117;1331,0
6118;1909,0
6119;728,0
6120;1103,0
6121;1654,0
6135;3279,0
6145;55541,0
6188;84,0
6202;290,0
6203;272,0
6219;7276,0
6232;204732,0
6268;681,0
6278;68785,0
8001;526,0
8002;561,0
8003;191,0
8004;28972,0
8022;168425,0
8032;12992,0
8027;1299,0
8028;1775,0
8029;1240,0
8031;885,0
8039;535,0
562;5370,0
833;1240,0
1786;68153,0
2091;192044,0
2113;59712,0
2592;11802,0
2761;86535,0
2810;4192,0
3859;9442,0
4251;9835,0
4410;8727,0
4476;28886,0
4555;4373,0
4606;23604,0
5233;38503,0
5239;81774,0
5515;3482,0
5564;226,0
5583;12139,0
5584;12715,0
5678;22755,0
5691;148276,0
5818;572,0
5789;111356,0
5832;535,0
5838;472,0
5839;526,0
5845;360,0
5929;20869,0
6005;83129,0
6062;5677,0
6076;578,0
6078;216,0
6092;1259,0
6093;1572,0
6095;930,0
6096;1275,0
6097;1588,0
6098;2378,0
6099;3201,0
6100;4073,0
6101;2337,0
6103;2501,0
6104;3941,0
6105;790,0
6106;1179,0
6107;1610,0
6108;716,0
6109;1119,0
6113;642,0
6114;1037,0
6115;1669,0
6116;907,0
6136;465,0
6137;386,0
6182;6220,0
6189;32629,0
6269;690,0
6282;1543,0
6283;2409,0
8005;30995,0
8030;1759,0
