Termék kód;Nettó eladási egységár;Beszerzési ár (Nettó);Termék típus
560;10229,0;7671,75;Termék
561;13277,0;9957,75;Termék
567;708,0;531,0;Termék
758;23189,0;17391,75;Termék
759;15736,0;11802,0;Termék
779;15382,0;11536,5;Termék
781;25194,0;18895,5;Termék
782;1377,0;1032,75;Termék
787;944,0;708,0;Termék
788;331,0;248,25;Termék
789;413,0;309,75;Termék
790;378,0;283,5;Termék
853;413,0;309,75;Termék
1068;9300,0;6975,0;Termék
1070;10406,0;7804,5;Termék
1071;23408,0;17556,0;Termék
1788;106874,0;80155,5;Termék
1820;1288,0;966,0;Termék
1821;5390,0;4042,5;Termék
2029;6649,0;4986,75;Termék
2115;147680,0;110760,0;Termék
2365;109569,0;82176,75;Termék
2375;10944,0;8208,0;Termék
2554;22017,0;16512,75;Termék
2590;15354,0;11515,5;Termék
2793;1713,0;1284,75;Termék
2794;1505,0;1128,75;Termék
2796;1174,0;880,5;Termék
2797;770,0;577,5;Termék
2806;2823,0;2117,25;Termék
2809;428,0;321,0;Termék
2812;297,0;222,75;Termék
2813;376,0;282,0;Termék
2839;790,0;592,5;Termék
2856;23050,0;17287,5;Termék
2859;31370,0;23527,5;Termék
2860;13328,0;9996,0;Termék
2924;91913,0;68934,75;Termék
2968;440,0;330,0;Termék
3000;228,0;171,0;Termék
3093;227594,0;170695,5;Termék
3136;11641,0;8730,75;Termék
3267;9988,0;7491,0;Termék
3268;10798,0;8098,5;Termék
3270;7559,0;5669,25;Termék
3273;9448,0;7086,0;Termék
3470;22628,0;16971,0;Termék
3659;456,0;342,0;Termék
3698;10229,0;7671,75;Termék
3760;19717,0;14787,75;Termék
3843;39362,0;29521,5;Termék
3847;52522,0;39391,5;Termék
3848;93164,0;69873,0;Termék
3849;23728,0;17796,0;Termék
3853;78551,0;58913,25;Termék
3860;30095,0;22571,25;Termék
3890;47599,0;35699,25;Termék
3900;19977,0;14982,75;Termék
4002;38976,0;29232,0;Termék
4003;38976,0;29232,0;Termék
4037;48985,0;36738,75;Termék
4038;54540,0;40905,0;Termék
4039;65118,0;48838,5;Termék
4056;35057,0;26292,75;Termék
4059;18946,0;14209,5;Termék
4104;47599,0;35699,25;Termék
4110;13319,0;9989,25;Termék
4111;9126,0;6844,5;Termék
4112;23759,0;17819,25;Termék
4113;31817,0;23862,75;Termék
4127;155733,0;116799,75;Termék
4131;248004,0;186003,0;Termék
4193;1658,0;1243,5;Termék
4224;442,0;331,5;Termék
4246;14021,0;10515,75;Termék
4409;6654,0;4990,5;Termék
4412;10522,0;7891,5;Termék
4413;16835,0;12626,25;Termék
4415;4753,0;3564,75;Termék
4416;5228,0;3921,0;Termék
4417;7225,0;5418,75;Termék
4418;7510,0;5632,5;Termék
4428;32238,0;24178,5;Termék
4532;4634,0;3475,5;Termék
4535;3707,0;2780,25;Termék
4536;5989,0;4491,75;Termék
4568;16240,0;12180,0;Termék
4682;76222,0;57166,5;Termék
4683;70981,0;53235,75;Termék
4692;119395,0;89546,25;Termék
4694;7504,0;5628,0;Termék
4846;40157,0;30117,75;Termék
4848;48976,0;36732,0;Termék
4850;75511,0;56633,25;Termék
4934;4197,0;3147,75;Termék
4935;12096,0;9072,0;Termék
4940;1269,0;951,75;Termék
4984;410,0;307,5;Termék
4989;231,0;173,25;Termék
4990;337,0;252,75;Termék
5001;904,0;678,0;Termék
5007;934,0;700,5;Termék
5010;347,0;260,25;Termék
5011;395,0;296,25;Termék
5012;720,0;540,0;Termék
5013;720,0;540,0;Termék
5230;54251,0;40688,25;Termék
5231;54251,0;40688,25;Termék
5232;15920,0;11940,0;Termék
5237;6965,0;5223,75;Termék
5238;5804,0;4353,0;Termék
5242;66429,0;49821,75;Termék
5245;5370,0;4027,5;Termék
5368;65590,0;49192,5;Termék
5565;78261,0;58695,75;Termék
5567;545,0;408,75;Termék
5568;619,0;464,25;Termék
5569;643,0;482,25;Termék
5574;8853,0;6639,75;Termék
5575;11858,0;8893,5;Termék
5587;3557,0;2667,75;Termék
5677;20480,0;15360,0;Termék
5680;28275,0;21206,25;Termék
5692;15669,0;11751,75;Termék
5693;158101,0;118575,75;Termék
5711;11217,0;8412,75;Termék
5710;8457,0;6342,75;Termék
5712;6056,0;4542,0;Termék
5715;4645,0;3483,75;Termék
5721;3070,0;2302,5;Termék
5722;4664,0;3498,0;Termék
5723;10944,0;8208,0;Termék
5724;2915,0;2186,25;Termék
5725;2915,0;2186,25;Termék
5726;1344,0;1008,0;Termék
5727;2914,0;2185,5;Termék
5728;7078,0;5308,5;Termék
5734;4076,0;3057,0;Termék
5735;9580,0;7185,0;Termék
5745;4616,0;3462,0;Termék
5747;4785,0;3588,75;Termék
5753;15042,0;11281,5;Termék
5755;1772,0;1329,0;Termék
5817;1435,0;1076,25;Termék
5819;1435,0;1076,25;Termék
5820;730,0;547,5;Termék
5821;1837,0;1377,75;Termék
5822;1024,0;768,0;Termék
5823;1837,0;1377,75;Termék
5824;965,0;723,75;Termék
5825;325,0;243,75;Termék
5826;325,0;243,75;Termék
5827;541,0;405,75;Termék
5828;535,0;401,25;Termék
5829;535,0;401,25;Termék
5830;541,0;405,75;Termék
5831;535,0;401,25;Termék
5833;762,0;571,5;Termék
5834;762,0;571,5;Termék
5837;476,0;357,0;Termék
5840;585,0;438,75;Termék
5841;566,0;424,5;Termék
5842;575,0;431,25;Termék
5846;594,0;445,5;Termék
5847;518,0;388,5;Termék
5848;560,0;420,0;Termék
5852;496,0;372,0;Termék
5853;810,0;607,5;Termék
5856;449,0;336,75;Termék
5893;48148,0;36111,0;Termék
5894;42017,0;31512,75;Termék
5892;52313,0;39234,75;Termék
5959;261,0;195,75;Termék
5960;88655,0;66491,25;Termék
5962;7664,0;5748,0;Termék
5963;33529,0;25146,75;Termék
5964;25170,0;18877,5;Termék
5965;81,0;60,75;Termék
5966;81,0;60,75;Termék
5967;81,0;60,75;Termék
5968;81,0;60,75;Termék
5969;81,0;60,75;Termék
5970;81,0;60,75;Termék
5971;81,0;60,75;Termék
5972;81,0;60,75;Termék
5973;132,0;99,0;Termék
5974;132,0;99,0;Termék
5975;132,0;99,0;Termék
5976;132,0;99,0;Termék
5977;132,0;99,0;Termék
5979;8336,0;6252,0;Termék
5980;8336,0;6252,0;Termék
6006;20544,0;15408,0;Termék
6009;58358,0;43768,5;Termék
6012;87655,0;65741,25;Termék
6014;229,0;171,75;Termék
6047;50060,0;37545,0;Termék
6048;49184,0;36888,0;Termék
6074;354,0;265,5;Termék
6075;378,0;283,5;Termék
6086;241,0;180,75;Termék
6088;839,0;629,25;Termék
6089;1119,0;839,25;Termék
6090;1382,0;1036,5;Termék
6091;2032,0;1524,0;Termék
6094;2386,0;1789,5;Termék
6102;3925,0;2943,75;Termék
6110;1670,0;1252,5;Termék
6111;798,0;598,5;Termék
6112;1240,0;930,0;Termék
6117;1331,0;998,25;Termék
6118;1909,0;1431,75;Termék
6119;728,0;546,0;Termék
6120;1103,0;827,25;Termék
6121;1654,0;1240,5;Termék
6135;3279,0;2459,25;Termék
6145;55541,0;41655,75;Termék
6188;84,0;63,0;Termék
6202;290,0;217,5;Termék
6203;272,0;204,0;Termék
6219;7276,0;5457,0;Termék
6232;204732,0;153549,0;Termék
6268;681,0;510,75;Termék
6278;68785,0;51588,75;Termék
8001;526,0;394,5;Termék
8002;561,0;420,75;Termék
8003;191,0;143,25;Termék
8004;28972,0;21729,0;Termék
8022;168425,0;126318,75;Termék
8032;12992,0;9744,0;Termék
8027;1299,0;974,25;Termék
8028;1775,0;1331,25;Termék
8029;1240,0;930,0;Termék
8031;885,0;663,75;Termék
8039;535,0;401,25;Termék
562;5370,0;4027,5;Termék
833;1240,0;930,0;Termék
1786;68153,0;51114,75;Termék
2091;192044,0;144033,0;Termék
2113;59712,0;44784,0;Termék
2592;11802,0;8851,5;Termék
2761;86535,0;64901,25;Termék
2810;4192,0;3144,0;Termék
3859;9442,0;7081,5;Termék
4251;9835,0;7376,25;Termék
4410;8727,0;6545,25;Termék
4476;28886,0;21664,5;Termék
4555;4373,0;3279,75;Termék
4606;23604,0;17703,0;Termék
5233;38503,0;28877,25;Termék
5239;81774,0;61330,5;Termék
5515;3482,0;2611,5;Termék
5564;226,0;169,5;Termék
5583;12139,0;9104,25;Termék
5584;12715,0;9536,25;Termék
5678;22755,0;17066,25;Termék
5691;148276,0;111207,0;Termék
5818;572,0;429,0;Termék
5789;111356,0;83517,0;Termék
5832;535,0;401,25;Termék
5838;472,0;354,0;Termék
5839;526,0;394,5;Termék
5845;360,0;270,0;Termék
5929;20869,0;15651,75;Termék
6005;83129,0;62346,75;Termék
6062;5677,0;4257,75;Termék
6076;578,0;433,5;Termék
6078;216,0;162,0;Termék
6092;1259,0;944,25;Termék
6093;1572,0;1179,0;Termék
6095;930,0;697,5;Termék
6096;1275,0;956,25;Termék
6097;1588,0;1191,0;Termék
6098;2378,0;1783,5;Termék
6099;3201,0;2400,75;Termék
6100;4073,0;3054,75;Termék
6101;2337,0;1752,75;Termék
6103;2501,0;1875,75;Termék
6104;3941,0;2955,75;Termék
6105;790,0;592,5;Termék
6106;1179,0;884,25;Termék
6107;1610,0;1207,5;Termék
6108;716,0;537,0;Termék
6109;1119,0;839,25;Termék
6113;642,0;481,5;Termék
6114;1037,0;777,75;Termék
6115;1669,0;1251,75;Termék
6116;907,0;680,25;Termék
6136;465,0;348,75;Termék
6137;386,0;289,5;Termék
6182;6220,0;4665,0;Termék
6189;32629,0;24471,75;Termék
6269;690,0;517,5;Termék
6282;1543,0;1157,25;Termék
6283;2409,0;1806,75;Termék
8005;30995,0;23246,25;Termék
8030;1759,0;1319,25;Termék
