Termék kód;Árlista;Egységár;Alapár (Nettó)
560;Törzsvásárló 2;9442;10229
560;Törzsvásárló 5-nagyker;8863;10229
561;Törzsvásárló 2;12255;13277
561;Törzsvásárló 5-nagyker;11503;13277
567;Törzsvásárló 2;653;708
567;Törzsvásárló 5-nagyker;613;708
758;Törzsvásárló 2;21404;23189
758;Törzsvásárló 5-nagyker;20091;23189
759;Törzsvásárló 2;14525;15736
759;Törzsvásárló 5-nagyker;13634;15736
779;Törzsvásárló 2;14198;15382
779;Törzsvásárló 5-nagyker;13327;15382
781;Törzsvásárló 2;23255;25194
781;Törzsvásárló 5-nagyker;21828;25194
782;Törzsvásárló 2;1271;1377
782;Törzsvásárló 5-nagyker;1193;1377
787;Törzsvásárló 2;871;944
787;Törzsvásárló 5-nagyker;818;944
788;Törzsvásárló 2;305;331
788;Törzsvásárló 5-nagyker;287;331
789;Törzsvásárló 2;381;413
789;Törzsvásárló 5-nagyker;358;413
790;Törzsvásárló 2;349;378
790;Törzsvásárló 5-nagyker;328;378
853;Törzsvásárló 2;381;413
853;Törzsvásárló 5-nagyker;358;413
1068;Törzsvásárló 2;8584;9300
1068;Törzsvásárló 5-nagyker;8057;9300
1070;Törzsvásárló 2;9605;10406
1070;Törzsvásárló 5-nagyker;9016;10406
1071;Törzsvásárló 2;21606;23408
1071;Törzsvásárló 5-nagyker;20281;23408
1788;Törzsvásárló 2;98646;106874
1788;Törzsvásárló 5-nagyker;92596;106874
1820;Törzsvásárló 2;1189;1288
1820;Törzsvásárló 5-nagyker;1116;1288
1821;Törzsvásárló 2;4975;5390
1821;Törzsvásárló 5-nagyker;4670;5390
2029;Törzsvásárló 2;6137;6649
2029;Törzsvásárló 5-nagyker;5761;6649
2115;Törzsvásárló 2;136311;147680
2115;Törzsvásárló 5-nagyker;127949;147680
2365;Törzsvásárló 2;101134;109569
2365;Törzsvásárló 5-nagyker;94930;109569
2375;Törzsvásárló 2;10103;10945
2375;Törzsvásárló 5-nagyker;9483;10945
2554;Törzsvásárló 2;20322;22017
2554;Törzsvásárló 5-nagyker;19076;22017
2590;Törzsvásárló 2;14172;15354
2590;Törzsvásárló 5-nagyker;13303;15354
2793;Törzsvásárló 2;1581;1713
2793;Törzsvásárló 5-nagyker;1484;1713
2794;Törzsvásárló 2;1389;1505
2794;Törzsvásárló 5-nagyker;1304;1505
2796;Törzsvásárló 2;1084;1174
2796;Törzsvásárló 5-nagyker;1018;1174
2797;Törzsvásárló 2;711;770
2797;Törzsvásárló 5-nagyker;668;770
2806;Törzsvásárló 2;2606;2823
2806;Törzsvásárló 5-nagyker;2446;2823
2809;Törzsvásárló 2;395;428
2809;Törzsvásárló 5-nagyker;371;428
2812;Törzsvásárló 2;274;297
2812;Törzsvásárló 5-nagyker;258;297
2813;Törzsvásárló 2;347;376
2813;Törzsvásárló 5-nagyker;326;376
2839;Törzsvásárló 2;729;790
2839;Törzsvásárló 5-nagyker;685;790
2856;Törzsvásárló 2;21276;23050
2856;Törzsvásárló 5-nagyker;19971;23050
2859;Törzsvásárló 2;28955;31370
2859;Törzsvásárló 5-nagyker;27179;31370
2860;Törzsvásárló 2;12302;13328
2860;Törzsvásárló 5-nagyker;11547;13328
2924;Törzsvásárló 2;84837;91913
2924;Törzsvásárló 5-nagyker;79633;91913
2968;Törzsvásárló 2;406;440
2968;Törzsvásárló 5-nagyker;381;440
3000;Törzsvásárló 2;210;228
3000;Törzsvásárló 5-nagyker;198;228
3093;Törzsvásárló 2;210073;227594
3093;Törzsvásárló 5-nagyker;197187;227594
3136;Törzsvásárló 2;10745;11641
3136;Törzsvásárló 5-nagyker;10086;11641
3267;Törzsvásárló 2;9219;9988
3267;Törzsvásárló 5-nagyker;8654;9988
3268;Törzsvásárló 2;9967;10798
3268;Törzsvásárló 5-nagyker;9356;10798
3270;Törzsvásárló 2;6977;7559
3270;Törzsvásárló 5-nagyker;6549;7559
3273;Törzsvásárló 2;8721;9448
3273;Törzsvásárló 5-nagyker;8186;9448
3470;Törzsvásárló 2;20886;22628
3470;Törzsvásárló 5-nagyker;19605;22628
3659;Törzsvásárló 2;421;456
3659;Törzsvásárló 5-nagyker;395;456
3698;Törzsvásárló 2;9442;10229
3698;Törzsvásárló 5-nagyker;8863;10229
3760;Törzsvásárló 2;18200;19718
3760;Törzsvásárló 5-nagyker;17084;19718
3843;Törzsvásárló 2;36332;39362
3843;Törzsvásárló 5-nagyker;34104;39362
3847;Törzsvásárló 2;48479;52522
3847;Törzsvásárló 5-nagyker;45505;52522
3848;Törzsvásárló 2;85992;93164
3848;Törzsvásárló 5-nagyker;80717;93164
3849;Törzsvásárló 2;21902;23729
3849;Törzsvásárló 5-nagyker;20559;23729
3853;Törzsvásárló 2;72504;78551
3853;Törzsvásárló 5-nagyker;68056;78551
3860;Törzsvásárló 2;27778;30095
3860;Törzsvásárló 5-nagyker;26074;30095
3890;Törzsvásárló 2;43934;47599
3890;Törzsvásárló 5-nagyker;41239;47599
3900;Törzsvásárló 2;18439;19977
3900;Törzsvásárló 5-nagyker;17308;19977
4002;Törzsvásárló 2;35975;38976
4002;Törzsvásárló 5-nagyker;33769;38976
4003;Törzsvásárló 2;35975;38976
4003;Törzsvásárló 5-nagyker;33769;38976
4037;Törzsvásárló 2;45214;48985
4037;Törzsvásárló 5-nagyker;42441;48985
4038;Törzsvásárló 2;50341;54540
4038;Törzsvásárló 5-nagyker;47253;54540
4039;Törzsvásárló 2;60106;65119
4039;Törzsvásárló 5-nagyker;56419;65119
4056;Törzsvásárló 2;32358;35057
4056;Törzsvásárló 5-nagyker;30373;35057
4059;Törzsvásárló 2;17488;18946
4059;Törzsvásárló 5-nagyker;16415;18946
4104;Törzsvásárló 2;43934;47599
4104;Törzsvásárló 5-nagyker;41239;47599
4110;Törzsvásárló 2;12293;13319
4110;Törzsvásárló 5-nagyker;11539;13319
